MV Number - Based on Word count (S - L),Main Cue,Story,Emotional Intensity,Emotion Aversion,Harm,Self Benefit,Other Benefit,Pre-meditated,Illegality,Social Norm Violation,Socialness,Frequency,Personal Familiarity,General Familiarity,Morally Appropriate,Norm Violation Component,Social Affect Component,Intention Component,Word Count
49,Reckless,"I used to drink and drive a lot. One time I borrowed my brother’s car, was drunk and had taken Valium. I sideswiped another car that had its door open.  I got scared and kept driving.",4.93,5.30,5.93,2.20,1.20,3.90,6.50,6.40,5.83,4.43,1.80,3.80,1.30,1.87,.77,-1.39,36
275,Cheated,"I put a poster that I had on EBay. There was a man who bid on it and paid with a system that sent the money directly to me. He was kind of a jerk during the whole transaction, so I decided not to send the poster and just keep the money.",4.07,3.50,5.10,5.00,1.30,4.87,6.00,5.93,5.70,3.40,1.80,3.13,1.50,1.51,-.26,.83,52
306,Unfaithful,"I was in a relationship with a girl named Pam that I didn’t really want to be with anymore. I was attracted to another girl named Annie who I hung out with often. So, she and I engaged in very loud sexual play on my couch so that Pam would hear us in the other room.",5.10,3.13,5.97,4.90,2.23,5.70,2.10,6.10,6.37,3.37,1.63,2.83,1.57,.77,.97,1.52,56
86,Unfaithful,I am a very unfaithful person in general. I do not have a strong faith in God and I am constantly unfaithful to women. Recently I cheated on my girlfriend who comes from another state to see me. ,4.87,3.87,5.63,4.23,1.63,5.37,2.47,6.20,6.23,4.83,2.47,4.20,1.57,.96,.94,.82,38
62,Unfaithful,"During my first marriage, I was unfaithful once. My neighbor was a very, very good-looking man and he lived in my co-op apartment building.  I was unfaithful for about a month and my husband never found out.  ",5.37,4.00,5.20,4.37,2.67,5.13,3.80,6.40,5.90,4.80,1.70,4.20,1.60,.99,.83,.75,37
66,Guilty,"Once, when I was a teenager, I was driving drunk down a road. An old farm dog came out into the middle of the road and started barking. I purposely ran right over it and killed it.",5.13,4.53,5.97,2.10,1.57,3.23,5.47,6.47,4.40,3.23,1.53,2.50,1.63,1.79,.07,-2.02,37
125,Took Something,"Ten years ago I was staying with a friend who lived in a house of a very famous man. There were many autographed books in the house. I stole one of the books, which was autographed by a very famous celebrity.",3.97,3.20,5.07,5.77,1.63,4.33,5.97,6.17,5.07,3.47,1.47,3.03,1.63,1.58,-.77,.84,41
119,Sneaky,There was a time for about a month that I was kind of into crystal methane. At the time I snuck around and did it in my house. My mother didn’t know that I was doing it in the bathroom. ,4.70,4.47,4.30,2.70,1.57,5.33,6.03,6.07,4.30,4.33,1.30,3.20,1.63,1.46,-.19,-.51,40
208,Regretful,"I had a friend who was incarcerated. One day, his girlfriend was driving his car. I was driving my girlfriend’s car and got into an accident. My friend’s car was one of the cars that I hit, but I just drove away and never told my friend. ",4.97,5.13,5.70,4.03,1.57,3.03,5.93,5.97,6.10,3.20,1.70,3.00,1.70,1.64,.62,-.85,47
198,Cheated,"I was responsible for the financial wellbeing of the women members in my family. They really needed all the money that they had and could get. So, through a bit of “creative reporting” on their taxes, I ended up cheating the government out of about $100,000.",3.87,3.83,4.63,4.07,5.33,6.27,6.73,5.63,5.93,3.80,1.57,3.30,1.73,.73,.18,1.43,46
139,Unfaithful,I was getting a massage at the gym and the massage therapist came on to me. I was dating a guy named Brad at the time though. I was unfaithful to Brad and had sex with the man who was massaging me.,5.37,3.87,5.43,4.80,3.00,3.13,2.63,6.13,6.00,3.87,1.80,3.37,1.73,.89,.71,-.13,42
